target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,pmid,title,data_point_description,data_point_value,data_type,source_type,data_found_in_abstract,data_found_in_fulltext,source_sentence_or_location,source_table_or_figure,trace_status,extraction_method_candidate
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_037,Project 037,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*,Methods/Results,Primary patency at 2yr: 72.3%,extracted_from_report,medium,holdout_only,no,Device type: cardiovascular; detail: None,PMID_V3E_0052,Primary patency at 2yr - PROJECT_037,Primary patency at 2yr,72.3%,KM,abstract,True,False,Results section: Primary patency at 2yr,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_041,Project 041,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*,Methods/Results,Procedure success: 90.0%,extracted_from_report,medium,holdout_only,no,Device type: surgical_instrument; detail: n=45/50,PMID_V3E_0053,Procedure success - PROJECT_041,Procedure success,90.0%,proportion,abstract,True,False,Results section: Procedure success,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_041,Project 041,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*,Methods/Results,Operative time: 38.5 ± 15.2 min,extracted_from_report,medium,holdout_only,no,Device type: surgical_instrument; detail: None,PMID_V3E_0054,Operative time - PROJECT_041,Operative time,38.5 ± 15.2 min,mean_sd,abstract,True,False,Results section: Operative time,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_041,Project 041,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*,Methods/Results,Post-op infection: 3 cases,extracted_from_report,medium,holdout_only,no,Device type: surgical_instrument; detail: None,PMID_V3E_0055,Post-op infection - PROJECT_041,Post-op infection,3 cases,AE_count,abstract,True,False,Results section: Post-op infection,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_007,Project 007,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*,Methods/Results,Accuracy: 85.0%,extracted_from_report,medium,calibration_only,yes,Device type: medical_instrument; detail: n=17/20,PMID_V3E_0056,Accuracy - PROJECT_007,Accuracy,85.0%,proportion,abstract,True,False,Results section: Accuracy,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_007,Project 007,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*,Methods/Results,Measurement time: 5.2 ± 2.1 min,extracted_from_report,medium,calibration_only,yes,Device type: medical_instrument; detail: None,PMID_V3E_0057,Measurement time - PROJECT_007,Measurement time,5.2 ± 2.1 min,mean_sd,abstract,True,False,Results section: Measurement time,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_028,Project 028,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_028_*,Methods/Results,Visual acuity improvement: 76.5%,extracted_from_report,medium,calibration_only,yes,Device type: ophthalmology; detail: n=39/51,PMID_V3E_0058,Visual acuity improvement - PROJECT_028,Visual acuity improvement,76.5%,proportion,abstract,True,False,Results section: Visual acuity improvement,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_028,Project 028,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_028_*,Methods/Results,IOP reduction: -6.2 ± 3.1 mmHg,extracted_from_report,medium,calibration_only,yes,Device type: ophthalmology; detail: None,PMID_V3E_0059,IOP reduction - PROJECT_028,IOP reduction,-6.2 ± 3.1 mmHg,mean_sd,abstract,True,False,Results section: IOP reduction,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,special_evidence,fixture,HEURISTIC_ONLY,PROJECT_023,Project 023,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*,Methods/Results,Weaning success: 68.8%,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_support; detail: n=22/32,PMID_V3E_0060,Weaning success - PROJECT_023,Weaning success,68.8%,proportion,abstract,True,False,Results section: Weaning success,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,special_evidence,fixture,HEURISTIC_ONLY,PROJECT_023,Project 023,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*,Methods/Results,Support duration: 7.2 ± 4.5 days,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_support; detail: None,PMID_V3E_0061,Support duration - PROJECT_023,Support duration,7.2 ± 4.5 days,mean_sd,abstract,True,False,Results section: Support duration,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,special_evidence,fixture,HEURISTIC_ONLY,PROJECT_023,Project 023,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*,Methods/Results,Bleeding requiring transfusion: 5 cases,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_support; detail: None,PMID_V3E_0062,Bleeding requiring transfusion - PROJECT_023,Bleeding requiring transfusion,5 cases,AE_severity,abstract,True,False,Results section: Bleeding requiring transfusion,Table 1,verified,llm_hybrid
